normales,codigo,descripcion,
,CLI 0001,CLIPS ADAP DE PUERTA TAPIZADO DE TECHO FIAT,
,CLI 0002,CLIPS GRAMPA PLAS.P/PAT.D. 1500 Y SOPORTE PARAG VW.,
,CLI 0005,CLIPS ADAP.GRAMPA MANTA CAPOT FIAT 125.............,
,CLI 0004,CLIPS ADAP.GRAMPA MOLDURA FORD FALCON ESTANDAR.....,
,CLI 0009,CLIPS ADAP.TUERCA PLAST.APOYA BRAZO PARR.PAT 128 EU,
,CLI 0006,CLIPS ADAP.GRAMPA MOLDURA DE FORD FALCON DE LUJO...,
,CLI 0106,CLIPS SEPARADOR DE BUJIA DE CABLE TAUNUS...........,
,CLI 0108,CLIPS ROSETA LEVANTA CRISTAL DE RENAULT 12/6.......,
,CLI 0109,CLIPS ROSETA LEVANTA CRISTAL DE FALCON.............,
,CLI 0027,CLIPS ADAP.GRAMPA TAPIZADO FIAT EUROP. PEUGEOT 504.,
,CLI 0010,CLIPS ADAP.GRAMPA MOLDURA LATERAL DE PICK UP/FORD..,
,CLI 0017,CLIPS ADAP.RETEN PARRILLA/MUELITA PARRILLA......... FORD,
,CLI 0118,CLIPS GRAMPA MOLDURA LATERAL TAUNUS F DODGE........,
,CLI 0012,CLIPS ADAP.TUERCA RAP.PLAS.AROS/FAROS/ PARR FIAT,
,CLI 0015GO,CLIPS TAPIZADO TRASERO GRIS OSCURO FIAT,
,CLI 0122,CLIPS MOLDURA DE ALAMB. RENAULT/F.125/F/1600/PEU404,
,CLI 0015N,CLIPS TAPIZADO TRASERO 147 NEGRO FIAT,
,CLI 0040,CLIPS ADAPTACION GRAMPA TAP.DE TECHO PEUGEOT 504...,
,CLI 0125,CLIPS SEGURO DE MANIJA DE PUERTA UNIVERSAL.........,
,CLI 0016,CLIPS ADAP GRAMPA OPTICA DE FIAT 600,
,CLI 0127,CLIPS BROCHE TAPIZADO DE PUERTA DE FALCON Y 100... PEUG,
,CLI 0064,CLIPS ADAP-ROSETA LEVANTA CRISTAL PEUGEOT 504 NEGRA,
,CLI 0130,CLIPS BROCHE DE COLIZA DE RENAULT 12,
,CLI 0018,CLIPS RETEN DE OPTICA FIAT 125/128/EUROPA FIAT -xxx,
,CLI 0132,CLIPS SEGURO CABEZAL DE ACELERADOR F 600.128.125...,
,CLI 0133,CLIPS BROCHE UNIV.P/COLIZA/TAPIZADO................,
,CLI 0134,CLIPS BROCHE UNIV.P/COLIZA/TAPIZADO................,
,CLI 0018,CLIPS RETEN DE OPTICA FIAT 125/128/EUROPA FIAT -xxx,
,CLI 0020,CLIPS ADAP.GRAMPA FARO GIRO FIAT 125 POTEN.128 EURO,
,CLI 0068,CLIPS ADAP-ROSETA LEVANTA CRISTAL PEUGEOT 404......,
,CLI 0138,CLIPS FIJACION DE INSIGNIA UNIVERSAL...............,
,CLI 0139,CLIPS FIJACION DE INSIGNIA UNIVERSAL...............,
,CLI 0140,CLIPS FIJACION DE INSIGNIA UNIVERSAL...............,
,CLI 0141,CLIPS TUERCA RAPIDA -xxx,
,CLI 0033,CLIPS ADAP.TUERCA PLAS.SUJET.PARAGDELANT.FIAT/REGA,
,CLI 0017,CLIPS ADAP.RETEN PARRILLA/MUELITA PARRILLA......... FORD,
,CLI 0023,CLIPS ADAP.GRAMPA MOLDURA LATERAL DE FORD TAUNUS...,
,CLI 0034,CLIPS ADAP.GRAMPA MOLDURA LATERAL DE PUERTA FIAT147,
,CLI 0047,CLIPS TAPIZADO DE PUERTA FIAT 128,
,CLI 0157,CLIPS TUBITO DE:LUZ DE GIRO/RET.PARRILLA/LEY.REN...,
,CLI 0071,CLIPS ADAP-TAPON DE PISO PEUGEOT 504<43MM>,
,CLI 0015GC,CLIPS GRAMPA TAPIZADO TRASERO 147 GRIS CLARO.......,
,CLI 0049,CLIPS ADAP-GRAMPA/MARCO OPTICA FIAT 128/147EUROPA..,
,CLI 0050,CLIPS ADAP-GRAMPA MOLDURA LATERAL FIAT 125/1600....,
