codigo,category
ALA 203,FAROS
ALA 211,FAROS
ALA 224,FAROS
ALA 225,FAROS
ALA 226,FAROS
ALA 302,FAROS
ALA 305,FAROS
ALA 307,FAROS
ALA 310,FAROS
ALA 313,FAROS
ALA 314,FAROS
ALT 1106/04,TAPAS
ALT 1106/23,TAPAS
ALT 1170/07,TAPAS
ALT 1321/24,BUJES
ALT 1321/30,BUJES
ALT 1321/50,REPARACIONES DE PALANCA
ALT 1321/51,REPARACIONES DE PALANCA
ALT 1349/14,REPARACIONES DE PALANCA
ALT 1349/34,REPARACIONES DE PALANCA
ALT 2044/23,TAPAS
ALT 2044/80,TAPAS
ALT 2221/08,BUJES
ALT 2221/11,BUJES
ALT 2221/12,BUJES
ALT 2221/15,BUJES
ALT 3033/19,TAPAS
ALT 3124/05,BUJES
ALT 3124/16,BUJES
ALT 4069/06,TAPAS
ALT 4176/28,BUJES
ALT 4176/44,BUJES
ALT 5033/12,TAPAS
ALT 5157/19,BUJES
ALT 5157/80,BUJES
ALT 5157/81,BUJES
ALT 5157/92,BUJES
ALT 6004/16,TAPAS
AUS F100,FAROS
AUS F112,FAROS
AUS F112/3D,FAROS
AUS F1215,FAROS
AUS F1254,FAROS
AUS FA1255I D,FAROS
AUS F14000 SV,FAROS
FAL 10062,FAROS
AUS F2514,FAROS
AUS F2514C,FAROS
AUS F3040P,FAROS
AUS FA710 DE,FAROS
AUS F711-2,FAROS
AUS F711-C,FAROS
AUS F711-D,FAROS
AUS F711P,FAROS
AUS F778,FAROS
AUS F8000D,FAROS
AUS F8004D,FAROS
AUS F8008,FAROS
AUS F850,FAROS
AUS F860,FAROS
AUS F920,FAROS
AUS FA113D,FAROS
AUS FA113I,FAROS
AUS FA114T De,FAROS
AUS FA3030,FAROS
AUS FA3100,FAROS
AUS FA700,FAROS
AUS FA900,FAROS
AUS FA910,FAROS
AUS FA910G,FAROS
AUS L112/3D,FAROS
AUS L1254,FAROS
AUS L14000,FAROS
AUS L1515,FAROS
FAL 10118,FAROS
AUS L3040P,FAROS
AUS L778,FAROS
AUS L8000/1,FAROS
AUS L8000/2,FAROS
AUS LA850,FAROS
AUS L860,FAROS
AUS L920,FAROS
AUS LA113D,FAROS
AUS LA113I,FAROS
AUS LA114T,FAROS
AUS LA3030,FAROS
AUS LA781,FAROS
AUS LA800,FAROS
AUS LA910,FAROS
AUT 10000,SOPORTES DE MOTOR
AUT 10001,SOPORTES DE MOTOR
AUT 10002,SOPORTES DE CABINA
AUT 11028,BUJES
AUT 128,BUJES
AUT 136A,CUBRE PEDAL DE ACELERADOR
AUT 1409,FIAT
AUT 141,CUBRE PEDAL DE ACELERADOR
AUT 152,BUJES
AUT 152A,BUJES
AUT 1536SFP,FUELLES
AUT 1710,FUELLES DE SEMIEJE Y CREMALLERA
AUT 202X,BUJES
AUT 2032CR,CAZOLETAS
AUT 214A,BUJES
AUT 220,FUELLES DE SEMIEJE Y CREMALLERA
AUT 226,BUJES
AUT 282,BUJES
AUT 308,SOPORTES DE SUSPENSION
AUT 311,TOPES DE SUSPENSION
AUT 320,TOPES DE SUSPENSION
AUT 329,SOPORTES DE SUSPENSION
AUT 332T,BUJES
AUT 3348,FORD
AUT 382,TOPES DE SUSPENSION
AUT 430,BUJES
AUT 431,BUJES
AUT 432,BUJES
AUT 438,BUJES
AUT 452,BUJES
AUT 454,BUJES
AUT 456C/A,BUJES
AUT 460,BUJES
AUT 463,BUJES
AUT 474,BUJES
AUT 474A,BUJES
AUT 536M,FUELLES
AUT 540C,JUEGO DE CONTRAPESO
AUT 540CORTO,SOPORTES DE CAJA
AUT 540CT,JUEGO DE CONTRAPESO
AUT 547,CAZOLETAS
AUT 64B,BUJES
AUT 702A,FUELLES DE SEMIEJE Y CREMALLERA
AUT 714,FUELLES DE SEMIEJE Y CREMALLERA
AUT 716C,FUELLES DE SEMIEJE Y CREMALLERA
AUT 719,FUELLES
AUT 744A,FUELLES DE SEMIEJE Y CREMALLERA
AUT 747,FUELLES
AUT 749,FUELLES DE AMORTIGUADOR
AUT 753,FUELLES
AUT 761A,FUELLES DE SEMIEJE Y CREMALLERA
AUT 770,FUELLES DE SEMIEJE Y CREMALLERA
AUT 773,FUELLES DE SEMIEJE Y CREMALLERA
AUT 778,FUELLES DE SEMIEJE Y CREMALLERA
AUT 779A,FUELLES DE SEMIEJE Y CREMALLERA
AUT 780C,FUELLES DE SEMIEJE Y CREMALLERA
AUT 789,FUELLES DE SEMIEJE Y CREMALLERA
AUT 791B,FORD
AUT 791C,FUELLES DE SEMIEJE Y CREMALLERA
AUT 859A,BUJES
AUT 9104,SOPORTES DE SUSPENSION
AUT 9110,SOPORTES DE MOTOR
AUT 9112,SOPORTES DE MOTOR
AUT 9113,SOPORTES DE SUSPENSION
AUT 9121,SOPORTES DE CAJA
AUT 9146,FUELLES
AUT 9189,SOPORTES DE MOTOR
AUT 9190,SOPORTES DE CAJA
AUT 9197,SOPORTES DE MOTOR
AUT 9312A,TOMAS DE AIRE
AUT 9334,SOPORTE DE CAJA DE VELOCIDADES
AUT 9341,SOPORTES DE MOTOR
AUT 9364,SOPORTES DE ESCAPE
AUT 9382,SOPORTES DE MOTOR
AUT 9390,SOPORTES DE CAJA
AUT 9391,SOPORTES DE MOTOR
